name,parent_region__name,gibdd_code,ya_name,slug
Усть-Абаканский район,Республика Хакасия,95230,,ust-abakanskii-raion
Владивосток,Приморский край,5401,Владивосток,vladivostok
Кызылский кожуун,Республика Тыва,93222,,kyzylskii-kozhuun
Сунтарский район,Республика Саха (Якутия),98248,Сунтарский улус,suntarskii-raion
Эрзинский кожуун,Республика Тыва,93258,,erzinskii-kozhuun
Кривошеински,Томская область,69236,Кривошеинский район,krivosheinski
Крутинский район,Омская область,52226,Крутинский район,krutinskii-raion
Тункинскийрайон,Республика Бурятия,81251,Тункинский район,tunkinskiiraion
Чугуевский район,Приморский край,5255,Чугуевский район,chuguevskii-raion
Яковлевский район,Приморский край,5259,Яковлевский район,iakovlevskii-raion-fo6
Артёмовский,Приморский край,5405,Артёмовский городской округ,artiomovskii
Ленский район,Республика Саха (Якутия),98227,Ленский муниципальный район,lenskii-raion
Называевский район,Омская область,52236,Называевский район,nazyvaevskii-raion
Селенгинский район,Республика Бурятия,81248,Селенгинский район,selenginskii-raion
Семикаракорский район,Ростовская область,60251,Семикаракорский район,semikarakorskii-raion
Томаринский район,Сахалинская область,64248,Томаринский городской округ,tomarinskii-raion
Шелеховский район,Иркутская область,25255,,shelekhovskii-raion
Нанайский район,Хабаровский край,8228,Нанайский район,nanaiskii-raion
Ангарский район,Иркутская область,25203,,angarskii-raion
Смирныховский район,Сахалинская область,64246,городской округ Смирныховский,smirnykhovskii-raion
Селемджинский район,Амурская область,10245,Селемджинский район,selemdzhinskii-raion
Тигильский район,Камчатский край,30132,Тигильский район,tigilskii-raion
Емельяновский район,Красноярский край,4214,,emelianovskii-raion
Цумадинский район,Республика Дагестан,82257,Цумадинский район,tsumadinskii-raion
Шарыповский район,Красноярский край,4258,,sharypovskii-raion
Вяземский район,Хабаровский край,8217,Вяземский район,viazemskii-raion
Цунтинский район,Республика Дагестан,82258,Цунтинский район,tsuntinskii-raion
Республика Алтай,,84,Республика Алтай,respublika-altai
Убинский район,Новосибирская область,50254,,ubinskii-raion
Кугарчинский,Республика Башкортостан,80238,Кугарчинский район,kugarchinskii
Тогучинский район,Новосибирская область,50252,,toguchinskii-raion
Кулинский район,Республика Дагестан,82229,Кулинский район,kulinskii-raion
Краснокамский,Республика Башкортостан,80237,Краснокамский район,krasnokamskii
Андроповский район,Ставропольский край,7232,Андроповский муниципальный округ,andropovskii-raion
Александровский район,Ставропольский край,7202,Александровский муниципальный округ,aleksandrovskii-raion
Альметьевский район,Республика Татарстан (Татарстан),92208,Альметьевский район,almetevskii-raion
Промышленновский,Кемеровская область - Кузбасс,32225,,promyshlennovskii
Топкинский район,Кемеровская область - Кузбасс,32231,,topkinskii-raion
Хилокский район,Забайкальский край,76247,,khilokskii-raion
Тунгокоченский район,Забайкальский край,76244,,tungokochenskii-raion
Чарышский район,Алтайский край,12581,,charyshskii-raion
Целинный район,Алтайский край,12571,,tselinnyi-raion
Ширинский район,Республика Хакасия,95235,,shirinskii-raion
Орджоникидзевский район,Республика Хакасия,95220,,ordzhonikidzevskii-raion
Чеди-Хольский кожуун,Республика Тыва,93257,,chedi-kholskii-kozhuun
Чаа-Хольский кожуун,Республика Тыва,93256,,chaa-kholskii-kozhuun
Окуловский район,Новгородская область,49228,Окуловский район,okulovskii-raion
Пенза,Пензенская область,56401,,penza
Воткинск,Удмуртская Республика,94410,Воткинск,votkinsk
